id,plot,sentinel_id
266901,"((34.95303003500004,32.33337214900007),(34.95326685900005,32.33354914000006),(34.953231747000075,32.33350534300007),(34.95368611300006,32.33315020500004),(34.95357276900006,32.33292839100005),(34.95303003500004,32.33337214900007))",36SXA
142413,"((34.87991713100007,31.72918166000005),(34.879966652000064,31.729071070000032),(34.87992436300004,31.729028967000033),(34.879868713000064,31.72897537500006),(34.87980394500005,31.728975211000034),(34.879734608000035,31.72900366700003),(34.87959138400004,31.729085386000065),(34.87952654900005,31.729104308000046),(34.87945269900007,31.729146117000028),(34.87939233600002,31.72916314300005),(34.879327567000075,31.729162978000033),(34.87927399200004,31.72915520600003),(34.87920924200006,31.72914931400004),(34.879146707000075,31.729149155000073),(34.879084171000045,31.72914899500006),(34.87901264800007,31.729164083000057),(34.878916451000066,31.729209651000076),(34.87890521600008,31.729228712000065),(34.87890406100007,31.729239971000027),(34.87902604900006,31.729483668000057),(34.879137136000054,31.72965097900004),(34.879200695000065,31.729678057000058),(34.879281079000066,31.72968398900008),(34.87941300500006,31.729640421000056),(34.87959667900003,31.729488176000075),(34.87962354700005,31.72946915700004),(34.87976669900007,31.72940843600003),(34.879838482000025,31.729318901000056),(34.87982964100007,31.729292153000074),(34.87991713100007,31.72918166000005))",36SXA
68530,"((35.46343473600007,31.998822752000024),(35.462562673000036,31.998426537000057),(35.46204664900006,31.999296039000058),(35.462908242000026,31.999677861000066),(35.46343473600007,31.998822752000024))",36SYA
226625,"((34.851026766000075,31.976419487000044),(34.851033089000055,31.976411460000065),(34.851035196000055,31.976409899000032),(34.85110058600003,31.976335524000035),(34.85120202500008,31.97622014500007),(34.85154346200005,31.975732712000024),(34.85162149300004,31.975743031000036),(34.85183191400006,31.975770857000043),(34.85202439200003,31.97535403100005),(34.852251301000024,31.974771445000044),(34.85279796200007,31.975091405000057),(34.853429498000025,31.975410873000044),(34.85330367900008,31.975674471000048),(34.853384265000045,31.975682092000056),(34.85425856300003,31.97576477100006),(34.85397663900005,31.97430023000004),(34.85393185000004,31.97406755700007),(34.853757131000066,31.974021703000062),(34.85346864400003,31.97394599000006),(34.85311475100008,31.973781149000047),(34.85282703900003,31.973647134000032),(34.852768551000054,31.973619890000066),(34.852741441000035,31.973525643000073),(34.85249759900006,31.973368960000073),(34.851905335000026,31.97327397400005),(34.85182841100004,31.97327242800003),(34.85176389600008,31.973271133000026),(34.851312188000065,31.973262057000056),(34.850878591000026,31.973447581000073),(34.85087597300003,31.973502456000062),(34.850906973000065,31.974102149000032),(34.850859651000064,31.974153484000055),(34.85076021900005,31.974261349000074),(34.850905942000054,31.976409184000033),(34.850959827000054,31.97641377800005),(34.851022718000024,31.976419142000054),(34.85102660000007,31.976416267000047),(34.851026766000075,31.976419487000044))",36SXA
118414,"((34.729445842000075,31.799013265000042),(34.72877035400006,31.798432889000026),(34.727891844000055,31.797678061000056),(34.72745729600007,31.79730468400004),(34.727154563000056,31.797574823000048),(34.72857330200003,31.798784479000062),(34.72914953800006,31.799275781000063),(34.729445842000075,31.799013265000042))",36SXA
26576,"((34.891781356000024,32.244737744000076),(34.891690108000034,32.244753005000064),(34.89208190900007,32.24573993200005),(34.892276149000054,32.24573083100006),(34.89250197900003,32.24563664100003),(34.89253051700007,32.24567642100004),(34.89267433500004,32.24561983900003),(34.89271105600005,32.24565224100007),(34.892846691000045,32.24560303800007),(34.89289676300007,32.24564696600004),(34.892996192000055,32.245601253000075),(34.893027294000035,32.24564325700004),(34.893687027000055,32.24571807800004),(34.89385450700007,32.24579070600004),(34.893906867000055,32.24576910800005),(34.893978781000044,32.24573944400004),(34.89394361400008,32.24566603100004),(34.89389056600004,32.24561852700003),(34.89380301400007,32.245578987000044),(34.891781356000024,32.244737744000076))",36SXA
31714,"((34.895627518000026,32.24266778700007),(34.89515416100005,32.24240223800007),(34.894880725000064,32.24223550800008),(34.89465499200003,32.24207141200003),(34.894402369000034,32.24188339900007),(34.89437836400003,32.24187698700007),(34.89437088900007,32.24187802800003),(34.89429503100007,32.24188858100007),(34.894278566000025,32.24190772800006),(34.89425375600007,32.24193658100006),(34.894247680000035,32.241982205000056),(34.89427709800003,32.24202497700003),(34.89426008600003,32.24207432500003),(34.895474225000044,32.24283130900005),(34.895690100000024,32.242702895000036),(34.895627518000026,32.24266778700007))",36SXA
205805,"((35.05888649100007,32.51734354200005),(35.05901504800005,32.51741393400005),(35.05913436700007,32.51746371200005),(35.05921865700003,32.51754397000008),(35.05934284500006,32.517654366000045),(35.059448435000036,32.51774770000003),(35.059597849000056,32.51785366300004),(35.05970926900005,32.51801394000006),(35.05992305600006,32.51819772400006),(35.06035604500005,32.51829581900006),(35.060472908000065,32.51819932600006),(35.06053506400008,32.51813753600004),(35.06067229300004,32.51808592300006),(35.06090460900003,32.51754616000005),(35.06094651500007,32.51723172900006),(35.060810365000066,32.51713433500004),(35.060948979000045,32.516641168000035),(35.06102222800007,32.51639439500008),(35.061078440000074,32.51620869200008),(35.06118072000004,32.51554738400006),(35.060977828000034,32.515540815000065),(35.06048673200007,32.515419474000055),(35.06036817700004,32.51537121800004),(35.06014396100005,32.515365744000064),(35.06002165600006,32.51538053100006),(35.059957257000065,32.51540960700004),(35.05968332800006,32.51582338400004),(35.059470987000054,32.51580066900004),(35.059380787000066,32.515951235000045),(35.05890042300007,32.51713767100006),(35.05888649100007,32.51734354200005))",36SXA
263480,"((35.38260439600003,32.69720603600007),(35.382871427000055,32.697112885000024),(35.38292151500008,32.69705115100004),(35.38299132100008,32.69696512000007),(35.383009722000054,32.69694244300007),(35.382978457000036,32.69677287400003),(35.383042368000076,32.696735002000025),(35.383033682000075,32.69659607500006),(35.38303075600004,32.696595487000025),(35.38291834100005,32.69657287000007),(35.382795756000064,32.696600096000054),(35.38279544300008,32.69659847400004),(35.382786800000076,32.69655353700006),(35.38277646800003,32.696499853000034),(35.382805691000044,32.69623380500008),(35.382765101000075,32.69601768900003),(35.38267474700007,32.69585056400007),(35.38277263500004,32.69569904400004),(35.382829737000066,32.695625129000064),(35.38274361300006,32.695586983000055),(35.38269747100003,32.69559324700003),(35.38248633000006,32.695746274000044),(35.38243636200008,32.69575592600006),(35.38237215700008,32.69572840200004),(35.382330628000034,32.69570873600003),(35.38230640100005,32.69567495700005),(35.38230655800004,32.695670448000044),(35.382237334000024,32.69571675900005),(35.38222422500007,32.69574382900004),(35.38219929500008,32.695943930000055),(35.382178235000026,32.696079216000044),(35.382129864000035,32.69630640300005),(35.38211261300006,32.696345877000056),(35.381944642000065,32.69659126700003),(35.381837820000044,32.696668627000065),(35.381601946000046,32.69678730900006),(35.38146510200005,32.69676495900006),(35.38141905400005,32.69673459200004),(35.381197703000055,32.69695187800005),(35.38107792200003,32.69704841600003),(35.38105218700008,32.69709522900007),(35.38099977100006,32.69713193500007),(35.38092661200005,32.697125838000034),(35.38093893200005,32.69720584700008),(35.380989068000076,32.697280732000024),(35.381216847000076,32.697280410000076),(35.38237845300006,32.697305819000064),(35.38241587400006,32.69730761100004),(35.38248472300006,32.69726393000008),(35.38258323800005,32.69721621000008),(35.382603834000065,32.69720623300003),(35.38260439600003,32.69720603600007))",36SYB
118040,"((34.67626499800008,31.763955633000023),(34.67465967000004,31.76353941700006),(34.67438408800007,31.76443696800004),(34.67436112900003,31.76446874800007),(34.67601778100004,31.76487172000003),(34.67633280600006,31.763987789000055),(34.67626499800008,31.763955633000023))",36SXA
